Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
1039,MONTGRADAIL,11240,MONTGRADAIL,,43.1188469018, 2.06671991119
1040,MONTHAUT,11240,MONTHAUT,,43.1188469018, 2.06671991119
1041,MONTLAUR,11220,MONTLAUR,,43.0809470716, 2.59145854442
1042,MONTREDON DES CORBIERES,11100,MONTREDON DES CORBIERES,,43.1614428329, 3.00768633064
1043,MOUTHOUMET,11330,MOUTHOUMET,,42.9592043622, 2.54502712372
1044,NEVIAN,11200,NEVIAN,,43.1662010238, 2.78892059953
1045,PADERN,11350,PADERN,,42.8796650781, 2.66522654176
1046,PENNAUTIER,11610,PENNAUTIER,,43.2600787186, 2.30202617457
1047,PEYREFITTE SUR L HERS,11420,PEYREFITTE SUR L HERS,,43.2067830751, 1.79388571157
1049,PEYRIAC DE MER,11440,PEYRIAC DE MER,,43.0899544333, 2.94880546616
1050,PEZENS,11170,PEZENS,,43.2815047945, 2.19442534937
1050,POMAS,11250,POMAS,,43.0946347739, 2.34321262347
1051,PRADELLES CABARDES,11380,PRADELLES CABARDES,,43.3945963595, 2.38722889335
1052,PRADELLES EN VAL,11220,PRADELLES EN VAL,,43.0809470716, 2.59145854442
1053,PREIXAN,11250,PREIXAN,,43.0946347739, 2.34321262347
1053,PUILAURENS,11140,PUILAURENS,LAPRADELLE,42.7657925357, 2.16672255446
1054,QUILLAN,11500,QUILLAN,BRENAC,42.8642681542, 2.2143101342
1054,RIEUX EN VAL,11220,RIEUX EN VAL,,43.0809470716, 2.59145854442
1056,ROQUECOURBE MINERVOIS,11700,ROQUECOURBE MINERVOIS,,43.2164263433, 2.63518086038
1057,ROQUEFEUIL,11340,ROQUEFEUIL,,42.8370630944, 1.98179772961
1058,ROQUEFORT DE SAULT,11140,ROQUEFORT DE SAULT,,42.7657925357, 2.16672255446
1059,STE COLOMBE SUR GUETTE,11140,STE COLOMBE SUR GUETTE,,42.7657925357, 2.16672255446
1060,ST COUAT DU RAZES,11300,ST COUAT DU RAZES,,43.0486403902, 2.18021479284
1061,ST LAURENT DE LA CABRERISSE,11220,ST LAURENT DE LA CABRERISSE,,43.0809470716, 2.59145854442
1062,ST PAPOUL,11400,ST PAPOUL,,43.3333084343, 1.97819883163
1062,SAISSAC,11310,SAISSAC,,43.3722409402, 2.17410983728
1063,SOUPEX,11320,SOUPEX,,43.3837467528, 1.85528043392
1064,TREBES,11800,TREBES,,43.2182954878, 2.49172141797
1065,TREZIERS,11230,TREZIERS,,42.9737220665, 2.02689573941
1065,VILLARDEBELLE,11580,VILLARDEBELLE,,43.0019735527, 2.32970366921
1066,VILLARZEL DU RAZES,11300,VILLARZEL DU RAZES,,43.0486403902, 2.18021479284
1067,VILLEMOUSTAUSSOU,11620,VILLEMOUSTAUSSOU,,43.2496570838, 2.3662986021
1068,VILLENEUVE LES CORBIERES,11360,VILLENEUVE LES CORBIERES,,42.9848553966, 2.7967793394
1069,VILLENEUVE LES MONTREAL,11290,VILLENEUVE LES MONTREAL,,43.1943746552, 2.18782678941
