Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
71356,AVAILLES LIMOUZINE,86460,AVAILLES LIMOUZINE,,46.1382827455, 0.581140891207
71357,BELLEFONDS,86210,BELLEFONDS,,46.684748794, 0.605467438883
71358,CELLE LEVESCAULT,86600,CELLE LEVESCAULT,,46.4312356319, 0.102380315547
71359,CHABOURNAY,86380,CHABOURNAY,,46.7375179238, 0.3291987023
71360,CHALANDRAY,86190,CHALANDRAY,,46.6225090612, 0.122295078468
71361,CHAMPNIERS,86400,CHAMPNIERS,,46.1593309397, 0.27690268606
71362,LA CHAPELLE BATON,86250,LA CHAPELLE BATON,,46.1357825974, 0.396436618847
71363,CHATEAU LARCHER,86370,CHATEAU LARCHER,,46.4325277487, 0.249386615442
71364,CHATELLERAULT,86100,CHATELLERAULT,TARGE,46.825162468, 0.575853305257
71365,CHATILLON,86700,CHATILLON,,46.305594158, 0.245644796441
71366,CISSE,86170,CISSE,,46.701479215, 0.158175273107
71367,LA ROCHE RIGAULT,86200,LA ROCHE RIGAULT,,46.998807994, 0.139457341652
71368,COLOMBIERS,86490,COLOMBIERS,,46.761526271, 0.437525425166
71369,COUSSAY,86110,COUSSAY,,46.7882401034, 0.151168939144
71370,CUHON,86110,CUHON,,46.7882401034, 0.151168939144
71371,GENOUILLE,86250,GENOUILLE,,46.1357825974, 0.396436618847
71372,LA GRIMAUDIERE,86110,LA GRIMAUDIERE,VERGER SUR DIVE,46.7882401034, 0.151168939144
71373,LA GRIMAUDIERE,86330,LA GRIMAUDIERE,NOTRE DAME D OR,46.8727701949, 0.0622118082158
71374,ITEUIL,86240,ITEUIL,,46.5120250661, 0.298942746534
71376,JARDRES,86800,JARDRES,,46.562191444, 0.519952068681
71377,JAUNAY CLAN,86130,JAUNAY CLAN,,46.6873283536, 0.421965737169
71378,JOUSSE,86350,JOUSSE,,46.260748514, 0.50964665142
71379,LATHUS ST REMY,86390,LATHUS ST REMY,,46.3309224625, 0.955276450825
71380,LEIGNE SUR USSEAU,86230,LEIGNE SUR USSEAU,,46.9073907672, 0.413601378993
71381,LEUGNY,86220,LEUGNY,,46.9080376629, 0.625787073001
71382,MAGNE,86160,MAGNE,,46.3481384958, 0.384541960559
71383,MAIRE,86270,MAIRE,,46.8121314624, 0.753430834935
71384,MAISONNEUVE,86170,MAISONNEUVE,,46.701479215, 0.158175273107
71385,MASSOGNES,86170,MASSOGNES,,46.701479215, 0.158175273107
71386,MAZEROLLES,86320,MAZEROLLES,,46.3927181385, 0.726435061295
71387,MAZEUIL,86110,MAZEUIL,,46.7882401034, 0.151168939144
71388,MESSEME,86200,MESSEME,,46.998807994, 0.139457341652
71389,MILLAC,86150,MILLAC,,46.2498879507, 0.661977427311
71390,MONTREUIL BONNIN,86470,MONTREUIL BONNIN,,46.5459680342, 0.0877138894846
71391,MOUTERRE SILLY,86200,MOUTERRE SILLY,,46.998807994, 0.139457341652
71392,NAINTRE,86530,NAINTRE,,46.7647730786, 0.524858476534
71393,NALLIERS,86310,NALLIERS,,46.5634568615, 0.886651288682
71394,ORCHES,86230,ORCHES,,46.9073907672, 0.413601378993
71395,OUZILLY,86380,OUZILLY,,46.7375179238, 0.3291987023
71396,PAIZAY LE SEC,86300,PAIZAY LE SEC,,46.547665049, 0.687527272819
71397,PAYROUX,86350,PAYROUX,,46.260748514, 0.50964665142
71398,RANTON,86200,RANTON,,46.998807994, 0.139457341652
71399,ROCHES PREMARIE ANDILLE,86340,ROCHES PREMARIE ANDILLE,,46.4622005788, 0.430372599517
71400,ROIFFE,86120,ROIFFE,,47.0822430133, 0.0264244317005
71401,ROMAGNE,86700,ROMAGNE,,46.305594158, 0.245644796441
71402,ST BENOIT,86280,ST BENOIT,,46.5484819543, 0.353353502502
71403,ST CLAIR,86330,ST CLAIR,,46.8727701949, 0.0622118082158
71404,ST CYR,86130,ST CYR,,46.6873283536, 0.421965737169
71405,ST GAUDENT,86400,ST GAUDENT,,46.1593309397, 0.27690268606
71406,ST GEORGES LES BAILLARGEAUX,86130,ST GEORGES LES BAILLARGEAUX,,46.6873283536, 0.421965737169
71407,ST JEAN DE SAUVES,86330,ST JEAN DE SAUVES,,46.8727701949, 0.0622118082158
71408,ST PIERRE DE MAILLE,86260,ST PIERRE DE MAILLE,,46.6858016329, 0.823387045612
71409,ST PIERRE D EXIDEUIL,86400,ST PIERRE D EXIDEUIL,,46.1593309397, 0.27690268606
71410,SAMMARCOLLES,86200,SAMMARCOLLES,,46.998807994, 0.139457341652
71411,USSON DU POITOU,86350,USSON DU POITOU,,46.260748514, 0.50964665142
71412,VELLECHES,86230,VELLECHES,,46.9073907672, 0.413601378993
71413,VOULON,86700,VOULON,,46.305594158, 0.245644796441
71414,VOUNEUIL SOUS BIARD,86580,VOUNEUIL SOUS BIARD,,46.580240949, 0.276027039382
71415,VOUNEUIL SUR VIENNE,86210,VOUNEUIL SUR VIENNE,,46.684748794, 0.605467438883
71416,AIXE SUR VIENNE,87700,AIXE SUR VIENNE,,45.7952355445, 1.1142799872
71417,AUGNE,87120,AUGNE,,45.7222859172, 1.77753194572
71419,AZAT LE RIS,87360,AZAT LE RIS,,46.3220927277, 1.12131601301
71420,BEYNAC,87700,BEYNAC,,45.7952355445, 1.1142799872
71421,BOSMIE L AIGUILLE,87110,BOSMIE L AIGUILLE,,45.746684922, 1.26292425158
71422,LE BUIS,87140,LE BUIS,,46.0207886477, 1.20450383374
71423,BUJALEUF,87460,BUJALEUF,,45.8082304662, 1.65843592046
71424,LES CARS,87230,LES CARS,,45.6620838392, 1.01085910015
71425,CHAMPSAC,87230,CHAMPSAC,,45.6620838392, 1.01085910015
71426,LA CHAPELLE MONTBRANDEIX,87440,LA CHAPELLE MONTBRANDEIX,,45.6750304013, 0.76861145842
71427,LE CHATENET EN DOGNON,87400,LE CHATENET EN DOGNON,,45.8514328757, 1.51537380528
71428,COMPREIGNAC,87140,COMPREIGNAC,,46.0207886477, 1.20450383374
71430,LA CROIX SUR GARTEMPE,87210,LA CROIX SUR GARTEMPE,,46.2183955334, 1.04069984873
71431,DOMPS,87120,DOMPS,,45.7222859172, 1.77753194572
71433,LE DORAT,87210,LE DORAT,,46.2183955334, 1.04069984873
71434,EYBOULEUF,87400,EYBOULEUF,,45.8514328757, 1.51537380528
71435,EYJEAUX,87220,EYJEAUX,,45.7856210567, 1.35360552581
71436,LADIGNAC LE LONG,87500,LADIGNAC LE LONG,,45.5304259487, 1.21634245482
71437,LUSSAC LES EGLISES,87360,LUSSAC LES EGLISES,,46.3220927277, 1.12131601301
71438,MONTROL SENARD,87330,MONTROL SENARD,,46.112617356, 0.896746440713
